Zone,Time,Station,Temp
MTZ138,2021-08-03 17:59:00,LBHM8,25.556
MTZ004,2021-08-03 18:02:00,STGM8,27.222
MTZ002,2021-08-03 18:06:00,AU976,23.88888
MTZ003,2021-08-03 18:00:00,STWM8,Not given
MTZ011,2021-08-03 18:02:00,F1664,24.44445
MTZ007,2021-08-03 18:00:00,K38S,24
MTZ032,2021-08-03 17:40:00,KTFM8,31.111
MTZ029,2021-08-03 17:41:00,STBM8,20.556
MTZ055,2021-08-03 18:07:00,F1907,22.22222
MTZ068,2021-08-03 16:00:00,PRPM8,Not given
MTZ008,2021-08-03 18:02:00,RRDM8,20
MTZ013,2021-08-03 18:10:00,F2944,Not given
MTZ066,2021-08-03 17:53:00,KLVM,24.4
MTZ005,2021-08-03 18:09:00,E0591,25.55557
MTZ036,2021-08-03 18:01:00,BAFM8,25.556
MTZ173,2021-08-03 17:41:00,STBM8,20.556
MTZ034,2021-08-03 17:22:00,FSLM8,23.889
MTZ054,2021-08-03 17:57:00,WSRM8,Not given
MTZ006,2021-08-03 18:00:00,ITD28,20.3
MTZ141,2021-08-03 17:53:00,KLVM,24.4
MTZ048,2021-08-03 18:03:00,LNCM8,25
MTZ139,2021-08-03 17:48:00,BRTM8,13.333
MTZ063,2021-08-03 17:54:00,KLWT,20
MTZ053,2021-08-03 18:03:00,GINM8,23.333
MTZ037,2021-08-03 17:56:00,INBS2,28.889
MTZ014,2021-08-03 18:08:00,E5549,24.44445
MTZ001,2021-08-03 17:47:00,MTYAK,26.111
MTZ169,2021-08-03 17:29:00,HBOM8,23.889
MTZ235,2021-08-03 17:41:00,STBM8,20.556
MTZ040,2021-08-03 17:00:00,PRPM8,Not given
MTZ033,2021-08-03 17:40:00,CACM8,30.556
MTZ057,2021-08-03 17:59:00,LBHM8,25.556
MTZ010,2021-08-03 18:06:00,MTSWT,25.111
MTZ023,2021-08-03 17:56:00,KGDV,30
MTZ009,2021-08-03 18:08:00,BEFM8,25
MTZ021,2021-08-03 17:48:00,KJDN,30
MTZ065,2021-08-03 17:56:00,KBZN,22.8
MTZ171,2021-08-03 17:48:00,BRTM8,13.333
MTZ058,2021-08-03 18:01:00,BAFM8,25.556
MTZ067,2021-08-03 17:53:00,KLVM,24.4
MTZ015,2021-08-03 18:10:00,MTRAY,20.111
MTZ056,2021-08-03 17:22:00,FSLM8,23.889
MTZ044,2021-08-03 18:10:00,D0975,26.66668
MTZ172,2021-08-03 17:30:00,MTM66,22.35
MTZ046,2021-08-03 18:07:00,MTPND,26.722
MTZ027,2021-08-03 17:56:00,KDIK,31.7
MTZ042,2021-08-03 18:02:00,KRPX,23
MTZ043,2021-08-03 18:08:00,CONM8,26.66702
MTZ045,2021-08-03 18:10:00,KHVR,Not given
MTZ064,2021-08-03 17:53:00,KLVM,24.4
MTZ031,2021-08-03 18:01:00,BAFM8,25.556
MTZ016,2021-08-03 18:10:00,KHVR,Not given
MTZ170,2021-08-03 17:48:00,BRTM8,13.333
MTZ026,2021-08-03 17:53:00,KMLS,27.8
MTZ059,2021-08-03 17:53:00,KGGW,27.2
MTZ052,2021-08-03 18:10:00,MTHOM,20.778
MTZ050,2021-08-03 18:06:00,MTGYS,24.778
MTZ012,2021-08-03 18:05:00,MTMON,21.111
MTZ060,2021-08-03 17:54:00,KLWT,20
