Zone,Time,Station,Temp
MTZ138,2021-08-03 17:59:00,LBHM8,25.556
MTZ138,2021-08-03 17:53:00,KSHR,26.1
MTZ138,2021-08-03 17:48:00,BRTM8,13.333
MTZ138,2021-08-03 17:29:00,HBOM8,23.889
MTZ138,2021-08-03 17:18:00,PMRM8,15
MTZ138,2021-08-03 17:18:00,WWMM8,20
MTZ138,2021-08-03 16:59:00,LBHM8,24.444
MTZ138,2021-08-03 16:53:00,KSHR,23.9
MTZ138,2021-08-03 16:48:00,BRTM8,12.778
MTZ138,2021-08-03 16:29:00,HBOM8,25
MTZ138,2021-08-03 16:18:00,PMRM8,14.444
MTZ138,2021-08-03 16:18:00,WWMM8,19.444
MTZ138,2021-08-03 15:59:00,LBHM8,25
MTZ138,2021-08-03 15:53:00,KSHR,23.9
MTZ138,2021-08-03 15:48:00,BRTM8,15
MTZ138,2021-08-03 15:29:00,HBOM8,25
MTZ138,2021-08-03 15:18:00,PMRM8,16.111
MTZ138,2021-08-03 15:18:00,WWMM8,21.66702
MTZ138,2021-08-03 14:59:00,LBHM8,23.889
MTZ138,2021-08-03 14:53:00,KSHR,24.4
MTZ138,2021-08-03 14:48:00,BRTM8,13.889
MTZ138,2021-08-03 14:29:00,HBOM8,23.333
MTZ138,2021-08-03 14:18:00,PMRM8,16.111
MTZ138,2021-08-03 14:18:00,WWMM8,19.444
MTZ138,2021-08-03 13:59:00,LBHM8,23.333
MTZ138,2021-08-03 13:53:00,KSHR,22.8
MTZ138,2021-08-03 13:48:00,BRTM8,13.333
MTZ138,2021-08-03 13:29:00,HBOM8,22.778
MTZ138,2021-08-03 13:18:00,PMRM8,15
MTZ138,2021-08-03 13:18:00,WWMM8,18.333
MTZ138,2021-08-03 12:59:00,LBHM8,22.222
MTZ138,2021-08-03 12:53:00,KSHR,21.1
MTZ138,2021-08-03 12:48:00,BRTM8,13.889
MTZ138,2021-08-03 12:29:00,HBOM8,22.778
MTZ138,2021-08-03 12:18:00,PMRM8,14.444
MTZ138,2021-08-03 12:18:00,WWMM8,17.222
MTZ138,2021-08-03 11:59:00,LBHM8,22.222
MTZ138,2021-08-03 11:53:00,KSHR,21.7
MTZ138,2021-08-03 11:48:00,BRTM8,13.889
MTZ138,2021-08-03 11:29:00,HBOM8,23.333
MTZ138,2021-08-03 11:18:00,PMRM8,14.444
MTZ138,2021-08-03 11:18:00,WWMM8,17.222
MTZ138,2021-08-03 10:59:00,LBHM8,21.66702
MTZ138,2021-08-03 10:53:00,KSHR,22.2
MTZ138,2021-08-03 10:48:00,BRTM8,13.889
MTZ138,2021-08-03 10:29:00,HBOM8,23.889
MTZ138,2021-08-03 10:18:00,PMRM8,14.444
MTZ138,2021-08-03 10:18:00,WWMM8,17.778
MTZ138,2021-08-03 09:59:00,LBHM8,22.222
MTZ138,2021-08-03 09:53:00,KSHR,21.7
MTZ138,2021-08-03 09:48:00,BRTM8,14.444
MTZ138,2021-08-03 09:29:00,HBOM8,23.333
MTZ138,2021-08-03 09:18:00,PMRM8,14.444
MTZ138,2021-08-03 09:18:00,WWMM8,18.333
MTZ138,2021-08-03 08:59:00,LBHM8,22.778
MTZ138,2021-08-03 08:53:00,KSHR,21.7
MTZ138,2021-08-03 08:48:00,BRTM8,16.111
MTZ138,2021-08-03 08:29:00,HBOM8,22.778
MTZ138,2021-08-03 08:18:00,PMRM8,14.444
MTZ138,2021-08-03 08:18:00,WWMM8,18.889
MTZ138,2021-08-03 07:59:00,LBHM8,23.333
MTZ138,2021-08-03 07:53:00,KSHR,22.2
MTZ138,2021-08-03 07:48:00,BRTM8,16.111
MTZ138,2021-08-03 07:29:00,HBOM8,23.889
MTZ138,2021-08-03 07:18:00,PMRM8,15
MTZ138,2021-08-03 07:18:00,WWMM8,20.556
MTZ138,2021-08-03 06:59:00,LBHM8,24.444
MTZ138,2021-08-03 06:53:00,KSHR,24.4
MTZ138,2021-08-03 06:48:00,BRTM8,16.667
MTZ138,2021-08-03 06:29:00,HBOM8,25
MTZ138,2021-08-03 06:18:00,PMRM8,16.111
MTZ138,2021-08-03 06:18:00,WWMM8,22.222
MTZ138,2021-08-03 05:59:00,LBHM8,26.111
MTZ138,2021-08-03 05:53:00,KSHR,26.1
MTZ138,2021-08-03 05:48:00,BRTM8,17.778
MTZ138,2021-08-03 05:29:00,HBOM8,26.111
MTZ138,2021-08-03 05:18:00,PMRM8,17.222
MTZ138,2021-08-03 05:18:00,WWMM8,23.333
MTZ138,2021-08-03 04:59:00,LBHM8,27.778
MTZ138,2021-08-03 04:53:00,KSHR,24.4
MTZ138,2021-08-03 04:48:00,BRTM8,17.778
MTZ138,2021-08-03 04:29:00,HBOM8,27.222
MTZ138,2021-08-03 04:18:00,PMRM8,18.333
MTZ138,2021-08-03 04:18:00,WWMM8,25.556
MTZ138,2021-08-03 03:59:00,LBHM8,30
MTZ138,2021-08-03 03:53:00,KSHR,25.6
MTZ138,2021-08-03 03:48:00,BRTM8,18.333
MTZ138,2021-08-03 03:29:00,HBOM8,28.889
MTZ138,2021-08-03 03:18:00,PMRM8,19.444
MTZ138,2021-08-03 03:18:00,WWMM8,26.111
MTZ138,2021-08-03 02:59:00,LBHM8,31.66702
MTZ138,2021-08-03 02:53:00,KSHR,25
MTZ138,2021-08-03 02:48:00,BRTM8,18.889
MTZ138,2021-08-03 02:29:00,HBOM8,31.111
MTZ138,2021-08-03 02:18:00,PMRM8,21.111
MTZ138,2021-08-03 02:18:00,WWMM8,28.333
MTZ138,2021-08-03 01:59:00,LBHM8,32.222
MTZ138,2021-08-03 01:53:00,KSHR,28.3
MTZ138,2021-08-03 01:48:00,BRTM8,20
MTZ138,2021-08-03 01:29:00,HBOM8,32.778
MTZ138,2021-08-03 01:18:00,PMRM8,22.778
MTZ138,2021-08-03 01:18:00,WWMM8,30.556
MTZ138,2021-08-03 00:59:00,LBHM8,34.444
MTZ138,2021-08-03 00:53:00,KSHR,33.3
MTZ138,2021-08-03 00:48:00,BRTM8,22.778
MTZ138,2021-08-03 00:29:00,HBOM8,33.889
MTZ138,2021-08-03 00:18:00,PMRM8,25.556
MTZ138,2021-08-03 00:18:00,WWMM8,31.111
MTZ138,2021-08-02 23:59:00,LBHM8,37.222
MTZ138,2021-08-02 23:53:00,KSHR,35.6
MTZ138,2021-08-02 23:48:00,BRTM8,25
MTZ138,2021-08-02 23:29:00,HBOM8,35
MTZ138,2021-08-02 23:18:00,PMRM8,26.66702
MTZ138,2021-08-02 23:18:00,WWMM8,32.778
MTZ138,2021-08-02 22:59:00,LBHM8,37.222
MTZ138,2021-08-02 22:53:00,KSHR,35.6
MTZ138,2021-08-02 22:48:00,BRTM8,26.111
MTZ138,2021-08-02 22:29:00,HBOM8,36.66702
MTZ138,2021-08-02 22:18:00,PMRM8,28.333
MTZ138,2021-08-02 22:18:00,WWMM8,32.778
MTZ138,2021-08-02 21:59:00,LBHM8,36.66702
MTZ138,2021-08-02 21:53:00,KSHR,35.6
MTZ138,2021-08-02 21:48:00,BRTM8,24.444
MTZ138,2021-08-02 21:29:00,HBOM8,36.66702
MTZ138,2021-08-02 21:18:00,PMRM8,28.333
MTZ138,2021-08-02 21:18:00,WWMM8,33.333
MTZ138,2021-08-02 20:59:00,LBHM8,37.222
MTZ138,2021-08-02 20:53:00,KSHR,35
MTZ138,2021-08-02 20:48:00,BRTM8,26.66702
MTZ138,2021-08-02 20:29:00,HBOM8,35.556
MTZ138,2021-08-02 20:18:00,PMRM8,28.333
MTZ138,2021-08-02 20:18:00,WWMM8,32.222
