"nom géographique, anglais","nom géographique, français","type de géographie, anglais","type de géographie, français",code du division de recensement,code de la région économique,code de la province,code de la région de patrimoine canadien,Total,Anglais première langue officielle parlée ajusté,"français première langue officielle parlée, ajusté","Autre première langue officielle parlée, ajusté"
"geographic name, english","geographic name, french","georaphie type, english","georaphie type, french",census division code,economic region code,province code,canadian heritage region code,Total,"English first official language spoken, adjusted","French first official language spoken, adjusted","Other first official language spoken, adjusted"
Canada,Canada,national,nationale,n.d.,n.d.,n.d.,n.d.,"33,121,170","24,846,713","7,691,703","582,755"
Division No. 1,Division No. 1,Census division,division de recensement,cd1001,er1010,pr10,pch01,"260,010","258,773",938,300
Division No. 2,Division No. 2,Census division,division de recensement,cd1002,er1020,pr10,pch01,"21,250","21,190",60, -   
Division No. 3,Division No. 3,Census division,division de recensement,cd1003,er1020,pr10,pch01,"16,205","16,180",20,5
Division No. 4,Division No. 4,Census division,division de recensement,cd1004,er1030,pr10,pch01,"20,650","20,255",390,5
Division No. 5,Division No. 5,Census division,division de recensement,cd1005,er1030,pr10,pch01,"40,530","40,410",110,10
Division No. 6,Division No. 6,Census division,division de recensement,cd1006,er1040,pr10,pch01,"37,060","36,928",108,25
Division No. 7,Division No. 7,Census division,division de recensement,cd1007,er1040,pr10,pch01,"34,360","34,295",45,20
Division No. 8,Division No. 8,Census division,division de recensement,cd1008,er1040,pr10,pch01,"36,690","36,625",50,15
Division No. 9,Division No. 9,Census division,division de recensement,cd1009,er1030,pr10,pch01,"16,600","16,575",25, -   
Division No. 10,Division No. 10,Census division,division de recensement,cd1010,er1030,pr10,pch01,"23,975","23,478",348,150
Division No. 11,Division No. 11,Census division,division de recensement,cd1011,er1030,pr10,pch01,"2,620","2,600",5,15
Kings,Kings,Census division,division de recensement,cd1101,er1110,pr11,pch01,"17,865","17,590",180,95
Queens,Queens,Census division,division de recensement,cd1102,er1110,pr11,pch01,"76,700","74,538","1,593",570
Prince,Prince,Census division,division de recensement,cd1103,er1110,pr11,pch01,"43,870","40,818","3,038",15
Shelburne,Shelburne,Census division,division de recensement,cd1201,er1240,pr12,pch01,"14,350","14,208",138,5
Yarmouth,Yarmouth,Census division,division de recensement,cd1202,er1240,pr12,pch01,"24,955","20,055","4,895",5
Digby,Digby,Census division,division de recensement,cd1203,er1240,pr12,pch01,"17,785","12,260","5,505",20
Queens,Queens,Census division,division de recensement,cd1204,er1240,pr12,pch01,"10,820","10,738",83, -   
Annapolis,Annapolis,Census division,division de recensement,cd1205,er1230,pr12,pch01,"20,455","20,063",388,5
Lunenburg,Lunenburg,Census division,division de recensement,cd1206,er1240,pr12,pch01,"46,780","46,265",500,15
Kings,Kings,Census division,division de recensement,cd1207,er1230,pr12,pch01,"59,720","58,483","1,173",65
Hants,Hants,Census division,division de recensement,cd1208,er1230,pr12,pch01,"41,950","41,403",468,80
Halifax,Halifax,Census division,division de recensement,cd1209,er1250,pr12,pch01,"386,440","375,003","10,303","1,135"
Colchester,Colchester,Census division,division de recensement,cd1210,er1220,pr12,pch01,"50,425","49,940",465,20
Cumberland,Cumberland,Census division,division de recensement,cd1211,er1220,pr12,pch01,"30,465","30,158",298,10
Pictou,Pictou,Census division,division de recensement,cd1212,er1220,pr12,pch01,"44,965","44,543",373,50
Guysborough,Guysborough,Census division,division de recensement,cd1213,er1220,pr12,pch01,"8,035","7,915",120, -   
Antigonish,Antigonish,Census division,division de recensement,cd1214,er1220,pr12,pch01,"19,455","18,903",538,15
Inverness,Inverness,Census division,division de recensement,cd1215,er1210,pr12,pch01,"17,660","15,378","2,278",5
Richmond,Richmond,Census division,division de recensement,cd1216,er1210,pr12,pch01,"9,170","7,193","1,973",5
Cape Breton,Cape Breton,Census division,division de recensement,cd1217,er1210,pr12,pch01,"100,105","99,233",798,75
Victoria,Victoria,Census division,division de recensement,cd1218,er1210,pr12,pch01,"7,090","7,038",48,5
Saint John,Saint John,Census division,division de recensement,cd1301,er1330,pr13,pch01,"75,295","71,828","3,248",220
Charlotte,Charlotte,Census division,division de recensement,cd1302,er1330,pr13,pch01,"26,220","25,653",528,40
Sunbury,Sunbury,Census division,division de recensement,cd1303,er1340,pr13,pch01,"27,085","24,728","2,348",10
Queens,Queens,Census division,division de recensement,cd1304,er1340,pr13,pch01,"10,880","10,440",435,5
Kings,Kings,Census division,division de recensement,cd1305,er1330,pr13,pch01,"69,240","66,945","2,245",50
Albert,Albert,Census division,division de recensement,cd1306,er1320,pr13,pch01,"28,615","26,780","1,830",5
Westmorland,Westmorland,Census division,division de recensement,cd1307,er1320,pr13,pch01,"141,220","81,105","59,930",185
Kent,Kent,Census division,division de recensement,cd1308,er1320,pr13,pch01,"30,340","8,775","21,555",10
Northumberland,Northumberland,Census division,division de recensement,cd1309,er1310,pr13,pch01,"47,520","35,318","12,173",30
York,York,Census division,division de recensement,cd1310,er1340,pr13,pch01,"96,360","89,625","6,495",240
Carleton,Carleton,Census division,division de recensement,cd1311,er1350,pr13,pch01,"26,680","26,215",450,15
Victoria,Victoria,Census division,division de recensement,cd1312,er1350,pr13,pch01,"19,675","11,213","8,463", -   
Madawaska,Madawaska,Census division,division de recensement,cd1313,er1350,pr13,pch01,"32,515","1,678","30,823",15
Restigouche,Restigouche,Census division,division de recensement,cd1314,er1310,pr13,pch01,"31,655","11,265","20,385",5
Gloucester,Gloucester,Census division,division de recensement,cd1315,er1310,pr13,pch01,"76,560","11,755","64,780",25
Les Îles-de-la-Madeleine,Les Îles-de-la-Madeleine,Census division,division de recensement,cd2401,er2410,pr24,pch02,"12,670",713,"11,958", -   
Le Rocher-Percé,Le Rocher-Percé,Census division,division de recensement,cd2402,er2410,pr24,pch02,"17,880","1,425","16,455", -   
La Côte-de-Gaspé,La Côte-de-Gaspé,Census division,division de recensement,cd2403,er2410,pr24,pch02,"17,850","1,810","16,035",5
La Haute-Gaspésie,La Haute-Gaspésie,Census division,division de recensement,cd2404,er2410,pr24,pch02,"11,965",63,"11,903", -   
Bonaventure,Bonaventure,Census division,division de recensement,cd2405,er2410,pr24,pch02,"17,770","2,725","15,040",5
Avignon,Avignon,Census division,division de recensement,cd2406,er2410,pr24,pch02,"15,080","3,215","11,855",10
La Matapédia,La Matapédia,Census division,division de recensement,cd2407,er2415,pr24,pch02,"18,360",70,"18,290", -   
Matane,Matane,Census division,division de recensement,cd2408,er2415,pr24,pch02,"21,650",105,"21,545", -   
La Mitis,La Mitis,Census division,division de recensement,cd2409,er2415,pr24,pch02,"18,435",140,"18,295", -   
Rimouski-Neigette,Rimouski-Neigette,Census division,division de recensement,cd2410,er2415,pr24,pch02,"54,390",403,"53,978",10
Les Basques,Les Basques,Census division,division de recensement,cd2411,er2415,pr24,pch02,"9,060",40,"9,020", -   
Rivière-du-Loup,Rivière-du-Loup,Census division,division de recensement,cd2412,er2415,pr24,pch02,"33,720",178,"33,538",5
Témiscouata,Témiscouata,Census division,division de recensement,cd2413,er2415,pr24,pch02,"20,310",105,"20,205", -   
Kamouraska,Kamouraska,Census division,division de recensement,cd2414,er2415,pr24,pch02,"20,815",95,"20,720", -   
Charlevoix-Est,Charlevoix-Est,Census division,division de recensement,cd2415,er2420,pr24,pch02,"16,040",100,"15,935",5
Charlevoix,Charlevoix,Census division,division de recensement,cd2416,er2420,pr24,pch02,"13,145",60,"13,080",5
L'Islet,L'Islet,Census division,division de recensement,cd2417,er2425,pr24,pch02,"18,285",78,"18,208", -   
Montmagny,Montmagny,Census division,division de recensement,cd2418,er2425,pr24,pch02,"22,645",113,"22,528",5
Bellechasse,Bellechasse,Census division,division de recensement,cd2419,er2425,pr24,pch02,"34,775",280,"34,490",5
L'Île-d'Orléans,L'Île-d'Orléans,Census division,division de recensement,cd2420,er2420,pr24,pch02,"6,610",78,"6,528",5
La Côte-de-Beaupré,La Côte-de-Beaupré,Census division,division de recensement,cd2421,er2420,pr24,pch02,"25,795",255,"25,535",5
La Jacques-Cartier,La Jacques-Cartier,Census division,division de recensement,cd2422,er2420,pr24,pch02,"36,845","1,430","35,405",10
Québec,Québec,Census division,division de recensement,cd2423,er2420,pr24,pch02,"544,495","10,938","532,103","1,455"
Lévis,Lévis,Census division,division de recensement,cd2425,er2425,pr24,pch02,"137,195","1,553","135,603",40
La Nouvelle-Beauce,La Nouvelle-Beauce,Census division,division de recensement,cd2426,er2425,pr24,pch02,"34,825",283,"34,538",5
Robert-Cliche,Robert-Cliche,Census division,division de recensement,cd2427,er2425,pr24,pch02,"18,925",125,"18,800", -   
Les Etchemins,Les Etchemins,Census division,division de recensement,cd2428,er2425,pr24,pch02,"16,855",123,"16,733", -   
Beauce-Sartigan,Beauce-Sartigan,Census division,division de recensement,cd2429,er2425,pr24,pch02,"50,185",430,"49,740",15
Le Granit,Le Granit,Census division,division de recensement,cd2430,er2430,pr24,pch02,"22,070",263,"21,808", -   
Les Appalaches,Les Appalaches,Census division,division de recensement,cd2431,er2425,pr24,pch02,"42,350",560,"41,775",15
L'Érable,L'Érable,Census division,division de recensement,cd2432,er2433,pr24,pch02,"23,075",185,"22,880",10
Lotbinière,Lotbinière,Census division,division de recensement,cd2433,er2425,pr24,pch02,"29,205",258,"28,923",25
Portneuf,Portneuf,Census division,division de recensement,cd2434,er2420,pr24,pch02,"48,695",490,"48,185",20
Mékinac,Mékinac,Census division,division de recensement,cd2435,er2470,pr24,pch02,"12,820",73,"12,743",5
Shawinigan,Shawinigan,Census division,division de recensement,cd2436,er2470,pr24,pch02,"48,685",510,"48,140",35
Francheville,Francheville,Census division,division de recensement,cd2437,er2470,pr24,pch02,"147,415","1,983","145,238",195
Bécancour,Bécancour,Census division,division de recensement,cd2438,er2433,pr24,pch02,"19,555",198,"19,348",10
Arthabaska,Arthabaska,Census division,division de recensement,cd2439,er2433,pr24,pch02,"68,545",583,"67,868",95
Les Sources,Les Sources,Census division,division de recensement,cd2440,er2430,pr24,pch02,"14,520",550,"13,945",25
Le Haut-Saint-François,Le Haut-Saint-François,Census division,division de recensement,cd2441,er2430,pr24,pch02,"21,785","2,403","19,378",5
Le Val-Saint-François,Le Val-Saint-François,Census division,division de recensement,cd2442,er2430,pr24,pch02,"29,425","2,303","27,113",10
Sherbrooke,Sherbrooke,Census division,division de recensement,cd2443,er2430,pr24,pch02,"152,450","8,140","143,545",765
Coaticook,Coaticook,Census division,division de recensement,cd2444,er2430,pr24,pch02,"18,665","2,033","16,633", -   
Memphrémagog,Memphrémagog,Census division,division de recensement,cd2445,er2430,pr24,pch02,"48,005","7,750","40,235",20
Brome-Missisquoi,Brome-Missisquoi,Census division,division de recensement,cd2446,er2435,pr24,pch02,"54,735","11,363","43,333",40
La Haute-Yamaska,La Haute-Yamaska,Census division,division de recensement,cd2447,er2435,pr24,pch02,"83,450","3,068","80,223",160
Acton,Acton,Census division,division de recensement,cd2448,er2435,pr24,pch02,"15,030",198,"14,818",15
Drummond,Drummond,Census division,division de recensement,cd2449,er2433,pr24,pch02,"97,420","1,453","95,778",190
Nicolet-Yamaska,Nicolet-Yamaska,Census division,division de recensement,cd2450,er2433,pr24,pch02,"22,355",218,"22,123",15
Maskinongé,Maskinongé,Census division,division de recensement,cd2451,er2470,pr24,pch02,"35,835",285,"35,545",5
D'Autray,D'Autray,Census division,division de recensement,cd2452,er2450,pr24,pch02,"41,255",495,"40,715",45
Pierre-De Saurel,Pierre-De Saurel,Census division,division de recensement,cd2453,er2435,pr24,pch02,"50,270",575,"49,675",20
Les Maskoutains,Les Maskoutains,Census division,division de recensement,cd2454,er2435,pr24,pch02,"82,815",898,"81,753",165
Rouville,Rouville,Census division,division de recensement,cd2455,er2435,pr24,pch02,"35,110",758,"34,303",50
Le Haut-Richelieu,Le Haut-Richelieu,Census division,division de recensement,cd2456,er2435,pr24,pch02,"113,520","4,673","108,768",80
La Vallée-du-Richelieu,La Vallée-du-Richelieu,Census division,division de recensement,cd2457,er2435,pr24,pch02,"115,985","5,043","110,823",120
Longueuil,Longueuil,Census division,division de recensement,cd2458,er2435,pr24,pch02,"395,840","56,295","334,400","5,145"
Lajemmerais,Lajemmerais,Census division,division de recensement,cd2459,er2435,pr24,pch02,"74,240","1,505","72,685",50
L'Assomption,L'Assomption,Census division,division de recensement,cd2460,er2450,pr24,pch02,"118,975","2,563","116,223",190
Joliette,Joliette,Census division,division de recensement,cd2461,er2450,pr24,pch02,"62,635",710,"61,745",180
Matawinie,Matawinie,Census division,division de recensement,cd2462,er2450,pr24,pch02,"49,175","2,403","46,538",235
Montcalm,Montcalm,Census division,division de recensement,cd2463,er2450,pr24,pch02,"48,005",905,"47,060",40
Les Moulins,Les Moulins,Census division,division de recensement,cd2464,er2450,pr24,pch02,"148,310","5,325","142,705",280
Laval,Laval,Census division,division de recensement,cd2465,er2445,pr24,pch02,"397,565","82,078","308,303","7,185"
Montréal,Montréal,Census division,division de recensement,cd2466,er2440,pr24,pch02,"1,862,195","611,005","1,204,265","46,925"
Roussillon,Roussillon,Census division,division de recensement,cd2467,er2435,pr24,pch02,"161,490","24,775","136,095",620
Les Jardins-de-Napierville,Les Jardins-de-Napierville,Census division,division de recensement,cd2468,er2435,pr24,pch02,"26,175","2,045","23,845",285
Le Haut-Saint-Laurent,Le Haut-Saint-Laurent,Census division,division de recensement,cd2469,er2435,pr24,pch02,"21,020","6,678","14,328",15
Beauharnois-Salaberry,Beauharnois-Salaberry,Census division,division de recensement,cd2470,er2435,pr24,pch02,"61,275","2,255","58,985",35
Vaudreuil-Soulanges,Vaudreuil-Soulanges,Census division,division de recensement,cd2471,er2435,pr24,pch02,"138,780","39,390","98,915",475
Deux-Montagnes,Deux-Montagnes,Census division,division de recensement,cd2472,er2455,pr24,pch02,"95,025","7,505","87,335",185
Thérèse-De Blainville,Thérèse-De Blainville,Census division,division de recensement,cd2473,er2455,pr24,pch02,"152,635","10,773","140,708","1,155"
Mirabel,Mirabel,Census division,division de recensement,cd2474,er2455,pr24,pch02,"41,900","1,008","40,863",30
La Rivière-du-Nord,La Rivière-du-Nord,Census division,division de recensement,cd2475,er2455,pr24,pch02,"114,235","3,040","111,010",185
Argenteuil,Argenteuil,Census division,division de recensement,cd2476,er2455,pr24,pch02,"31,710","5,540","26,155",15
Les Pays-d'en-Haut,Les Pays-d'en-Haut,Census division,division de recensement,cd2477,er2455,pr24,pch02,"39,975","4,215","35,740",20
Les Laurentides,Les Laurentides,Census division,division de recensement,cd2478,er2455,pr24,pch02,"44,790","3,388","41,313",90
Antoine-Labelle,Antoine-Labelle,Census division,division de recensement,cd2479,er2455,pr24,pch02,"34,555",588,"33,963",5
Papineau,Papineau,Census division,division de recensement,cd2480,er2460,pr24,pch02,"22,365","1,350","21,000",15
Gatineau,Gatineau,Census division,division de recensement,cd2481,er2460,pr24,pch02,"263,255","41,375","220,415","1,465"
Les Collines-de-l'Outaouais,Les Collines-de-l'Outaouais,Census division,division de recensement,cd2482,er2460,pr24,pch02,"46,210","12,108","34,088",15
La Vallée-de-la-Gatineau,La Vallée-de-la-Gatineau,Census division,division de recensement,cd2483,er2460,pr24,pch02,"20,390","3,435","16,950",5
Pontiac,Pontiac,Census division,division de recensement,cd2484,er2460,pr24,pch02,"14,210","8,375","5,830",5
