Zone,Time,Station,Temp
MTZ139,17:29:00+00:00,HBOM8,23.889
MTZ009,17:22:00+00:00,MTBRN,25.111
MTZ037,16:56:00+00:00,INBS2,27.222
MTZ058,17:27:00+00:00,FHFM8,28.889
MTZ141,16:53:00+00:00,KLVM,23.3
MTZ066,17:22:00+00:00,FSLM8,23.889
MTZ054,17:08:00+00:00,NCRM8,19.444
MTZ057,17:18:00+00:00,PMRM8,15
MTZ043,17:12:00+00:00,SEEM8,22.778
MTZ138,17:29:00+00:00,HBOM8,23.889
MTZ048,17:22:00+00:00,MTBOW,27.222
MTZ067,16:53:00+00:00,KLVM,23.3
MTZ031,17:01:00+00:00,BAFM8,23.889
MTZ016,16:53:00+00:00,KHVR,23.9
MTZ170,17:29:00+00:00,HBOM8,23.889
MTZ023,16:56:00+00:00,KGDV,28.9
MTZ046,17:22:00+00:00,MTPND,25.222
MTZ010,17:21:00+00:00,BGRM8,27.778
MTZ034,17:22:00+00:00,FSLM8,23.889
MTZ173,17:21:00+00:00,SDAM8,21.66702
MTZ033,16:40:00+00:00,CACM8,26.66702
MTZ005,17:29:00+00:00,E0591,23.88888
MTZ040,16:00:00+00:00,PRPM8,Not given
MTZ042,16:40:00+00:00,LSNM8,17.778
MTZ055,17:27:00+00:00,F1907,22.22222
MTZ008,17:25:00+00:00,MTMQM,18.778
MTZ172,16:15:00+00:00,MTM66,19.572
MTZ052,17:27:00+00:00,MTBOU,22.5
MTZ036,17:27:00+00:00,FHFM8,28.889
MTZ002,17:27:00+00:00,AU976,22.77776
MTZ171,17:18:00+00:00,BHMM8,13.333
MTZ032,16:40:00+00:00,KTFM8,28.889
MTZ235,17:21:00+00:00,SDAM8,21.66702
MTZ060,16:54:00+00:00,KLWT,19.4
MTZ053,17:03:00+00:00,GINM8,22.222
MTZ001,17:30:00+00:00,MTDKY,20.111
MTZ014,17:30:00+00:00,MTROG,21.722
MTZ007,17:30:00+00:00,K38S,23
MTZ050,17:21:00+00:00,MTGYS,23.5
MTZ004,17:30:00+00:00,MTLPS,23.222
MTZ044,17:30:00+00:00,MTSUN,25.111
MTZ006,17:30:00+00:00,ITD28,18.1
MTZ012,17:28:00+00:00,MTYEP,26.278
MTZ059,16:53:00+00:00,KGGW,25
MTZ068,16:00:00+00:00,PRPM8,Not given
MTZ049,17:22:00+00:00,MTPND,25.222
MTZ064,16:53:00+00:00,KLVM,23.3
MTZ015,17:35:00+00:00,KEKS,22
MTZ013,17:30:00+00:00,K79S,24
MTZ169,17:29:00+00:00,HBOM8,23.889
MTZ026,16:53:00+00:00,KMLS,27.8
MTZ003,17:16:00+00:00,MTFLT,24.611
MTZ021,16:48:00+00:00,KJDN,28.3
MTZ063,16:54:00+00:00,KLWT,19.4
MTZ027,16:56:00+00:00,KDIK,29.4
MTZ051,17:32:00+00:00,LBCM8,20
MTZ056,17:22:00+00:00,FSLM8,23.889
MTZ029,16:41:00+00:00,STBM8,22.778
MTZ065,16:56:00+00:00,KBZN,21.7
MTZ047,17:18:00+00:00,FBLM8,20.556
